Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,1st Road Class & No
3309,429093,436258,1,01-Jan-09,55,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,44,Car,
2609,434723,435534,1,02-Jan-09,2335,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Female,23,Car,
2809,441173,433047,1,02-Jan-09,1645,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,12,Car,
3809,428487,431364,1,02-Jan-09,1723,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,15,Car,
3909,425928,435480,2,02-Jan-09,1350,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car,
3909,425928,435480,2,02-Jan-09,1350,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car,
19809,425642,434240,2,02-Jan-09,2300,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,57,Car,
3709,429610,439798,1,03-Jan-09,222,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,17,Car,
4309,426535,433642,2,03-Jan-09,325,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,23,Car,
9009,437658,445061,1,03-Jan-09,1645,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,20,Car,
9009,437658,445061,1,03-Jan-09,1645,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,23,Car,
66209,431508,435120,2,03-Jan-09,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,18,Car,
66209,431508,435120,2,03-Jan-09,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,47,Car,
66209,431508,435120,2,03-Jan-09,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,11,Car,
66209,431508,435120,2,03-Jan-09,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,15,Car,
66209,431508,435120,2,03-Jan-09,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,42,Car,
2909,443402,438684,2,04-Jan-09,1605,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,83,Car,
2909,443402,438684,2,04-Jan-09,1605,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,65,Car,
4209,428099,426648,1,04-Jan-09,21,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,24,Car,
8409,431482,435007,2,04-Jan-09,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28,Car,
8409,431482,435007,2,04-Jan-09,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Car,
8409,431482,435007,2,04-Jan-09,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,26,Car,
3109,427890,430474,1,05-Jan-09,705,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,42,Car,
3109,427890,430474,1,05-Jan-09,705,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Fatal,Male,18,Car,
8509,427304,433623,3,05-Jan-09,1430,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,34,Car,
8509,427304,433623,3,05-Jan-09,1430,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,38,Car,
11009,432430,433799,1,05-Jan-09,1250,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,40,Bus or coach (17 or more passenger seats),
22509,431463,432466,1,05-Jan-09,2330,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,23,Car,
8609,432533,434156,1,06-Jan-09,1805,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,4,Car,
9109,421617,434392,2,06-Jan-09,1800,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,78,Car,
9109,421617,434392,2,06-Jan-09,1800,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,51,Car,
11609,433601,429802,1,06-Jan-09,1725,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,52,Car,
12909,424112,434008,1,06-Jan-09,1308,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,66,Bus or coach (17 or more passenger seats),
13109,425186,437731,2,06-Jan-09,1040,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Taxi/Private hire car,
13109,425186,437731,2,06-Jan-09,1040,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,66,Car,
19109,421016,441155,1,06-Jan-09,1120,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,88,Car,
21809,429870,430441,3,06-Jan-09,2055,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,40,Car,
22309,423629,437988,3,06-Jan-09,1109,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,M/cycle 50cc and under,
80709,435211,433542,1,06-Jan-09,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car,
147409,437665,444765,1,06-Jan-09,2046,A,Dry,Darkness: no street lighting,Fine without high winds,Driver,Serious,Male,22,Car,
11309,430112,431742,2,07-Jan-09,1240,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,17,Pedal cycle,
11809,429436,433461,2,07-Jan-09,1730,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,40,Car,
